event_id,method,no_track_found,more_than_1_track,phi_cut,start_outside,end_outside,inter_outside,end_in_beam_zone,angle_diff_cut
3850,GMM,False,False,False,False,True,False,False,False
3851,GMM,False,False,True,False,True,False,False,False
3852,GMM,False,False,True,False,True,False,False,False
3854,GMM,False,False,False,False,False,False,False,True
3855,GMM,False,True,False,False,False,False,False,False
3856,GMM,False,False,False,False,True,False,False,False
3858,GMM,False,False,True,False,True,False,False,False
3859,GMM,False,False,False,False,True,False,False,False
3860,GMM,False,False,True,False,True,False,False,False
3862,GMM,False,False,False,True,False,True,False,False
3865,GMM,False,False,False,False,True,False,False,False
3866,GMM,False,False,True,False,False,False,False,False
3867,GMM,False,False,False,False,True,False,False,False
3868,GMM,False,False,False,True,True,True,False,False
3869,GMM,False,True,False,False,False,False,False,False
3870,GMM,False,False,True,False,False,False,False,False
3871,GMM,False,False,False,True,True,True,False,False
3873,GMM,False,False,False,True,True,True,False,False
3876,GMM,False,False,False,False,True,False,False,False
3877,GMM,False,False,False,False,True,False,False,False
3880,GMM,False,True,False,False,False,False,False,False
3881,GMM,False,False,False,False,True,False,False,False
3882,GMM,False,False,True,True,True,True,False,False
3883,GMM,False,False,False,False,True,False,False,False
3885,GMM,False,False,False,False,False,False,False,True
3886,GMM,False,False,False,False,True,False,False,False
3887,GMM,False,False,False,False,True,False,False,False
3889,GMM,False,False,True,False,False,False,False,False
3891,GMM,False,False,True,False,True,False,False,True
3892,GMM,False,False,True,False,True,False,False,False
3895,GMM,False,False,True,False,True,False,False,False
3896,GMM,False,False,True,False,False,False,False,False
3897,GMM,False,False,True,False,True,False,False,False
3898,GMM,False,False,False,False,True,False,False,False
3899,GMM,False,False,False,False,True,False,False,False
3900,GMM,False,False,False,True,True,True,False,False
3901,GMM,False,False,True,False,True,False,False,False
3902,GMM,False,False,True,False,True,False,False,False
3903,GMM,False,False,True,False,False,False,False,False
3904,GMM,False,True,False,False,False,False,False,False
3908,GMM,False,True,False,False,False,False,False,False
3910,GMM,False,False,True,False,True,False,False,False
3911,GMM,False,False,False,False,True,False,False,False
3914,GMM,False,False,False,False,True,False,False,False
3919,GMM,False,False,False,False,True,False,False,False
